candidate_id,tech,score
3,C#,1
6,C#,5
17,C#,2
22,C#,6
23,C#,4
25,C#,3
35,C#,5
43,C#,6
46,C#,3
55,C#,4
63,C#,5
64,C#,3
68,C#,5
70,C#,2
71,C#,7
75,C#,4
76,C#,5
86,C#,6
87,C#,2
88,C#,3
89,C#,6
90,C#,1
93,C#,5
98,C#,1
102,C#,5
103,C#,2
106,C#,3
110,C#,3
111,C#,3
114,C#,1
116,C#,1
117,C#,1
120,C#,8
127,C#,3
129,C#,8
135,C#,4
136,C#,4
140,C#,3
144,C#,2
146,C#,4
149,C#,2
155,C#,2
156,C#,2
159,C#,6
174,C#,4
176,C#,2
178,C#,2
180,C#,2
184,C#,6
188,C#,3
191,C#,3
200,C#,6
202,C#,1
207,C#,3
213,C#,1
215,C#,1
218,C#,1
224,C#,1
225,C#,4
226,C#,1
230,C#,2
235,C#,6
236,C#,1
238,C#,1
242,C#,1
244,C#,1
245,C#,1
249,C#,1
252,C#,1
260,C#,2
262,C#,2
264,C#,1
266,C#,3
276,C#,1
380,C#,6
381,C#,4
388,C#,3
393,C#,2
401,C#,3
403,C#,3
405,C#,3
407,C#,7
411,C#,4
412,C#,1
415,C#,3
421,C#,1
423,C#,1
425,C#,3
430,C#,2
432,C#,4
444,C#,2
452,C#,6
457,C#,8
458,C#,2
459,C#,3
472,C#,1
475,C#,1
477,C#,2
481,C#,2
490,C#,1
491,C#,2
494,C#,5
496,C#,1
500,C#,3
503,C#,1
504,C#,3
509,C#,1
510,C#,4
516,C#,2
518,C#,1
522,C#,1
525,C#,2
528,C#,2
529,C#,3
532,C#,3
534,C#,1
536,C#,4
539,C#,3
551,C#,1
553,C#,1
564,C#,5
567,C#,5
571,C#,2
572,C#,2
577,C#,5
582,C#,4
583,C#,2
590,C#,2
591,C#,5
595,C#,2
604,C#,2
605,C#,1
618,C#,2
622,C#,5
626,C#,1
629,C#,2
631,C#,4
632,C#,5
634,C#,4
635,C#,3
636,C#,2
639,C#,4
641,C#,1
643,C#,2
646,C#,1
652,C#,1
658,C#,1
659,C#,1
661,C#,2
663,C#,5
671,C#,4
672,C#,2
673,C#,1
674,C#,1
682,C#,4
693,C#,2
700,C#,2
712,C#,5
718,C#,3
719,C#,1
720,C#,6
722,C#,3
731,C#,2
732,C#,4
735,C#,4
736,C#,6
744,C#,3
750,C#,6
753,C#,1
756,C#,4
757,C#,3
758,C#,3
762,C#,7
763,C#,5
764,C#,1
766,C#,2
773,C#,1
774,C#,1
775,C#,1
777,C#,3
783,C#,3
784,C#,5
788,C#,3
791,C#,4
796,C#,2
798,C#,6
800,C#,6
803,C#,4
810,C#,3
815,C#,1
821,C#,2
830,C#,3
833,C#,6
837,C#,4
842,C#,3
845,C#,3
847,C#,8
848,C#,4
849,C#,4
852,C#,4
855,C#,1
856,C#,1
860,C#,4
862,C#,1
863,C#,2
865,C#,3
867,C#,4
868,C#,2
869,C#,4
870,C#,3
872,C#,2
874,C#,5
879,C#,1
896,C#,5
897,C#,2
899,C#,3
903,C#,2
905,C#,1
906,C#,2
911,C#,1
915,C#,3
918,C#,2
920,C#,7
922,C#,2
925,C#,3
927,C#,2
928,C#,7
931,C#,2
937,C#,4
943,C#,3
945,C#,1
950,C#,2
954,C#,4
961,C#,5
968,C#,3
973,C#,5
977,C#,4
983,C#,2
990,C#,3
996,C#,2
997,C#,4
1002,C#,4
1007,C#,4
1015,C#,4
1022,C#,5
1026,C#,4
1033,C#,3
1041,C#,5
1042,C#,3
1043,C#,4
1047,C#,2
1048,C#,2
1051,C#,4
1059,C#,2
1076,C#,1
1079,C#,2
1082,C#,3
1083,C#,3
1085,C#,7
1086,C#,5
1087,C#,1
1090,C#,4
1092,C#,2
1098,C#,2
1101,C#,5
1103,C#,3
1109,C#,5
1118,C#,4
1127,C#,1
1129,C#,1
1130,C#,1
1133,C#,2
1141,C#,3
1150,C#,2
1156,C#,2
1159,C#,2
1160,C#,4
1164,C#,2
1168,C#,2
1171,C#,3
1172,C#,4
1175,C#,2
1178,C#,4
1182,C#,6
1183,C#,3
1188,C#,3
1193,C#,3
1194,C#,1
1196,C#,3
1197,C#,4
1199,C#,1
1205,C#,1
1207,C#,2
1214,C#,1
1221,C#,1
1223,C#,1
1230,C#,3
1232,C#,6
1234,C#,2
1238,C#,3
1239,C#,3
1245,C#,4
1250,C#,1
1253,C#,3
1254,C#,9
1255,C#,2
1258,C#,6
1259,C#,4
1260,C#,4
1261,C#,4
1262,C#,2
1263,C#,2
1267,C#,4
1269,C#,2
1277,C#,6
1280,C#,2
1281,C#,5
1288,C#,5
1291,C#,2
1295,C#,1
1297,C#,3
1301,C#,5
1314,C#,3
1317,C#,1
1319,C#,1
1326,C#,3
1328,C#,3
1330,C#,1
1332,C#,1
1334,C#,3
1342,C#,3
